"CodeFigure","Meaning_en","Status"
"0","Surface data - land","Operational"
"1","Surface data - sea","Operational"
"2","Vertical soundings (other than satellite)","Operational"
"3","Vertical soundings (satellite)","Operational"
"4","Single level upper-air data (other than satellite)","Operational"
"5","Single level upper-air data (satellite)","Operational"
"6","Radar data","Operational"
"7","Synoptic features","Operational"
"8","Physical/chemical constituents","Operational"
"9","Dispersal and transport","Operational"
"10","Radiological data","Operational"
"11","CREX tables, complete replacement or update","Operational"
"12","Surface data (satellite)","Operational"
"13-19","Reserved","Operational"
"20","Status information","Operational"
"21","Radiances (satellite measured)","Operational"
"22","Radar (satellite) but not altimeter and scatterometer","Operational"
"23","Lidar (satellite)","Operational"
"24","Scatterometry (satellite)","Operational"
"25","Altimetry (satellite)","Operational"
"26","Spectrometry (satellite)","Operational"
"27","Gravity measurement (satellite)","Operational"
"28","Precision orbit (satellite)","Operational"
"29","Space environment (satellite)","Operational"
"30","Calibration datasets (satellite)","Operational"
"31","Oceanographic data","Operational"
"32-100","Reserved","Operational"
"101","Image data (satellite)","Operational"
"102-239","Reserved","Operational"
"240-254","For experimental use","Operational"
"255","Other category","Operational"
